benchmark,environment,encryption,processes,run,class,size,iterations,time_seconds,total_processes,active_processes,mops_total,mops_per_process,operation_type,verification,source_file
CG,SGX,UNENC,1,4,C,150000,75,137.93,1,1,1039.27,1039.27,floating point,SUCCESSFUL,/mnt/ebi/shimojima/TPDP/NPB3.4.4/NPB3.4-MPI/SGX/results/CG-UNENC-1processes-4.csv
CG,SGX,UNENC,1,5,C,150000,75,136.93,1,1,1046.84,1046.84,floating point,SUCCESSFUL,/mnt/ebi/shimojima/TPDP/NPB3.4.4/NPB3.4-MPI/SGX/results/CG-UNENC-1processes-5.csv
CG,SGX,UNENC,2,1,C,150000,75,56.45,2,2,2539.45,1269.72,floating point,SUCCESSFUL,/mnt/ebi/shimojima/TPDP/NPB3.4.4/NPB3.4-MPI/SGX/results/CG-UNENC-2processes-1.csv
CG,SGX,UNENC,2,2,C,150000,75,56.57,2,2,2534.08,1267.04,floating point,SUCCESSFUL,/mnt/ebi/shimojima/TPDP/NPB3.4.4/NPB3.4-MPI/SGX/results/CG-UNENC-2processes-2.csv
CG,SGX,UNENC,2,3,C,150000,75,56.60,2,2,2532.70,1266.35,floating point,SUCCESSFUL,/mnt/ebi/shimojima/TPDP/NPB3.4.4/NPB3.4-MPI/SGX/results/CG-UNENC-2processes-3.csv
CG,SGX,UNENC,2,4,C,150000,75,56.31,2,2,2545.74,1272.87,floating point,SUCCESSFUL,/mnt/ebi/shimojima/TPDP/NPB3.4.4/NPB3.4-MPI/SGX/results/CG-UNENC-2processes-4.csv
CG,SGX,UNENC,2,5,C,150000,75,56.44,2,2,2539.99,1270.00,floating point,SUCCESSFUL,/mnt/ebi/shimojima/TPDP/NPB3.4.4/NPB3.4-MPI/SGX/results/CG-UNENC-2processes-5.csv
CG,SGX,UNENC,4,1,C,150000,75,33.54,4,4,4273.45,1068.36,floating point,SUCCESSFUL,/mnt/ebi/shimojima/TPDP/NPB3.4.4/NPB3.4-MPI/SGX/results/CG-UNENC-4processes-1.csv
CG,SGX,UNENC,4,2,C,150000,75,33.43,4,4,4288.50,1072.13,floating point,SUCCESSFUL,/mnt/ebi/shimojima/TPDP/NPB3.4.4/NPB3.4-MPI/SGX/results/CG-UNENC-4processes-2.csv
CG,SGX,UNENC,4,3,C,150000,75,33.55,4,4,4272.99,1068.25,floating point,SUCCESSFUL,/mnt/ebi/shimojima/TPDP/NPB3.4.4/NPB3.4-MPI/SGX/results/CG-UNENC-4processes-3.csv
