These are breakdowns
rank is 7 host-name is poweredge-r650-9 allreduce enc time is 0.000000s
rank is 7 host-name is poweredge-r650-9 allreduce dec time is 0.000000s
rank is 7 host-name is poweredge-r650-9 all enc time is 0.048052s
rank is 7 host-name is poweredge-r650-9 all dec time is 0.011729s
rank is 7 host-name is poweredge-r650-9 key distribution time is 0.000000s
rank is 7 host-name is poweredge-r650-9 Init crypt time is 0.000000s

rank is 7 host-name is poweredge-r650-9 waitall avr time is 0.001900s
MY_HOSTNAME is poweredge-r650-7
These are breakdowns
rank is 2 host-name is poweredge-r650-7 send time is 0.000023s
rank is 2 host-name is poweredge-r650-7 recv time is 0.000000s
rank is 2 host-name is poweredge-r650-7 isend time is 0.005080s
rank is 2 host-name is poweredge-r650-7 irecv time is 0.000569s
rank is 2 host-name is poweredge-r650-7 wait time is 0.090436s
rank is 2 host-name is poweredge-r650-7 waitall time is 0.450744s
rank is 2 host-name is poweredge-r650-7 bcast time is 0.000000s
rank is 2 host-name is poweredge-r650-7 alltoall time is 0.000000s
rank is 2 host-name is poweredge-r650-7 alltoallv time is 0.000000s
rank is 2 host-name is poweredge-r650-7 reduce time is 0.000054s
rank is 2 host-name is poweredge-r650-7 allreduce time is 0.267738s
rank is 2 host-name is poweredge-r650-7 all comm time is 0.814645s

rank is 2 host-name is poweredge-r650-7 send enc time is 0.000025s
rank is 2 host-name is poweredge-r650-7 recv dec time is 0.000000s
rank is 2 host-name is poweredge-r650-7 isend enc time is 0.000025s
rank is 2 host-name is poweredge-r650-7 irecv dec time is 0.018596s
rank is 2 host-name is poweredge-r650-7 bcast enc time is 0.000000s
rank is 2 host-name is poweredge-r650-7 bcast dec time is 0.000000s
rank is 2 host-name is poweredge-r650-7 alltoall enc time is 0.000000s
rank is 2 host-name is poweredge-r650-7 alltoall dec time is 0.000000s
rank is 2 host-name is poweredge-r650-7 allgather enc time is 0.000000s
rank is 2 host-name is poweredge-r650-7 allgather dec time is 0.000000s
rank is 2 host-name is poweredge-r650-7 alltoallv enc time is 0.000000s
rank is 2 host-name is poweredge-r650-7 alltoallv dec time is 0.000000s
rank is 2 host-name is poweredge-r650-7 reduce enc time is 0.000000s
rank is 2 host-name is poweredge-r650-7 reduce dec time is 0.000000s
rank is 2 host-name is poweredge-r650-7 allreduce enc time is 0.000000s
rank is 2 host-name is poweredge-r650-7 allreduce dec time is 0.000000s
rank is 2 host-name is poweredge-r650-7 all enc time is 0.036618s
rank is 2 host-name is poweredge-r650-7 all dec time is 0.018596s
rank is 2 host-name is poweredge-r650-7 key distribution time is 0.000000s
rank is 2 host-name is poweredge-r650-7 Init crypt time is 0.000000s

rank is 2 host-name is poweredge-r650-7 waitall avr time is 0.001513s
MY_HOSTNAME is poweredge-r650-7
These are breakdowns
rank is 3 host-name is poweredge-r650-7 send time is 0.000014s
rank is 3 host-name is poweredge-r650-7 recv time is 0.000000s
rank is 3 host-name is poweredge-r650-7 isend time is 0.005686s
rank is 3 host-name is poweredge-r650-7 irecv time is 0.000575s
